state_abbv,state_fips,year,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_pct,nonvoter_reg_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
ME,Maine,2016,1,0,1,0,NA,0.011187607,2.5135346e-4,0,0.0031907565,0.022612514,0.039838746,0.12383323,1,0,0.14256482,0.0099580623,0,4.0574293,0.031047091,0.87657547,0.72757858
MI,Michigan,2008,1,1,NA,NA,NA,0.0023447599,7.5351057e-4,3.9173817e-4,0.001691777,0.025029462,0.090549745,0.27339312,0.96340525,0,0.15839989,0.046561211,0,20.394936,0.007404923,0.90444714,0.69701523
MI,Michigan,2010,1,1,1,1,0,0.0025673979,2.5625547e-4,1.5682221e-4,0.0016676554,0.045706462,0.088536814,0.32848004,1,0,0.11822011,0.032804269,0,NA,NA,0.86789572,0.45163938
MI,Michigan,2012,1,1,1,1,0,0.002753898,5.595414e-4,3.106239e-4,0.0016836443,0.029105969,0.08723513,0.25115955,1,1,0.16374734,0.032454889,0,21.929638,0.0104043,0.89528906,0.65334696
MI,Michigan,2014,1,1,1,1,0,0.0017235249,3.5591586e-4,1.4017127e-4,0.0016039732,0.07239937,0.027464585,0.24553277,1,0,0.12416449,0.024378328,0.5,2.8846095,NA,0.86647791,0.43155986
MI,Michigan,2016,1,1,1,1,0,7.2183635e-4,3.8792775e-4,3.1858901e-4,0.0012659451,0.061234888,0.025135277,0.21771577,1,0,0.13583705,0.030937558,0.5,8.3011665,0.01027301,0.88909715,0.65667069
MN,Minnesota,2008,1,0,NA,NA,NA,0.001385901,NA,NA,0.0033979788,NA,0.063601024,0.27783731,0.96837097,1,0.13356462,0.011876082,0,8.6466446,0.0033713283,0.91812861,0.78102571
MN,Minnesota,2010,1,1,1,1,NA,0.0023994846,NA,NA,0.0036710529,0.070907921,0.073411763,0.34987196,0.97507721,1,0.11856145,0.014363226,0,NA,NA,0.85347235,0.55860668
MN,Minnesota,2012,1,1,1,1,NA,8.9243473e-4,NA,NA,0.0026342187,0.043199636,0.076314405,0.21074623,1,1,0.16280241,0.012348572,0,6.2248178,0.0048186998,0.87689584,0.7611475
MN,Minnesota,2014,1,1,1,1,NA,0.0012604789,NA,NA,0.0024042206,0.17109971,0.065382369,0.3742975,1,1,0.1072707,0.00914637,1,2.3955147,NA,0.82527971,0.50508094
MN,Minnesota,2016,1,1,1,1,NA,6.5895385e-4,NA,NA,0.0020448968,0.075431183,0.07576482,0.23348211,1,1,0.15444912,0.020148177,1,6.8095851,0.0077647599,0.8865658,0.7484026
MO,Missouri,2008,1,1,NA,NA,NA,NA,0.0023174956,0.0017252541,0.0018226488,0.042621091,0.046064563,0.19128491,0.95685136,1,0.16619581,0.099153794,0,25.948952,NA,0.85468245,0.69138604
